Acres,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,Urban or Rural,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
-0.2638692228387153,0.18509033908411116,0.06929128899054249,0.4731392596300058,0.23335968379446645,1.0,2.0,2.0,3.0,0.0,0.0
348.53774849786083,0.5014501150008253,-0.13523406809951624,0.060974922543099434,-0.18086956521739128,1.0,3.0,2.0,2.0,0.0,0.0
-0.3948011352225213,0.46315851276362696,-0.15842903649341114,0.12601395800290088,-0.08363636363636362,1.0,3.0,2.0,2.0,0.0,0.0
9.993863213560829,-0.10900564583543523,-0.5050149404369213,-0.4023039960067483,-0.08363636363636362,1.0,2.0,0.0,1.0,0.0,0.0
0.0683788607568126,-0.25665425325326585,0.4793042598262664,-0.5386379641713352,-0.08363636363636362,1.0,1.0,3.0,0.0,0.0,0.0
2.3118045979890494,2.771590045141905,1.2398931361152161,0.19637309352089083,-0.1177865612648221,1.0,3.0,3.0,2.0,0.0,0.0
0.09791614206552778,0.88427570513049,1.1692621475791571,0.19199591686121398,0.0,0.0,3.0,3.0,2.0,0.0,0.0
-0.09191178723926906,0.23655993812551354,0.7866189960290185,0.8880014300952148,-0.037944664031620556,1.0,2.0,3.0,3.0,0.0,0.0
1.5720540649613244,0.91962498649754,0.1180735074728828,0.5464020057068912,-0.08363636363636362,1.0,3.0,2.0,3.0,0.0,0.0
-0.27715646154120516,-0.5610661007949872,-0.7788485580527025,-0.8197220587488789,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.569818046856079,2.003848092590324,0.7748368500452181,-0.8501736119604095,-0.1177865612648221,1.0,3.0,3.0,0.0,0.0,0.0
0.4233325510607128,-0.18467255378338482,-0.5508498346637151,-0.3993487280716155,0.0,1.0,1.0,0.0,1.0,0.0,0.0
-0.3183337076107024,-0.07104718988499309,1.3902756752325318,-0.3672543804659823,-0.08363636363636362,1.0,2.0,3.0,1.0,0.0,0.0
44.97689352872471,-0.5963051998168168,0.19581672308572004,-0.8522607076952601,-0.08363636363636362,1.0,0.0,2.0,0.0,0.0,0.0
0.5863148287848342,0.247804005431933,2.5226946004463917,-0.06732087519862738,-0.10197628458498022,1.0,2.0,3.0,2.0,0.0,0.0
-0.31927172856200725,1.4410249185049795,0.7188429648626933,1.9432055584287218,-0.2175494071146245,1.0,3.0,3.0,3.0,0.0,0.0
-0.2750922542231243,0.31815377080495105,-0.2462650164521976,-0.00787874995853479,0.0,1.0,2.0,1.0,2.0,0.0,0.0
-0.2634006777196043,0.39916311280288186,0.5522232130678767,-0.2803492537751095,-0.08363636363636362,1.0,2.0,3.0,1.0,0.0,0.0
0.7978003400222026,-0.5154020505537525,-0.18792773703076812,-0.7180962805081567,0.0,1.0,0.0,2.0,0.0,0.0,1.0
-0.31382303185046906,-0.5879460035904661,-0.795130940072393,1.5247829223549645,2.0784189723320154,1.0,0.0,0.0,3.0,0.0,0.0
0.1850183989083776,0.1622245033666362,0.3378249511651701,-0.15185881285681385,-0.08363636363636362,1.0,2.0,2.0,1.0,0.0,0.0
6.822453463611896,0.12387798552078205,-0.36394671259673367,-0.18726675225190023,-0.08363636363636362,1.0,2.0,1.0,1.0,0.0,0.0
-0.12870149531274386,-0.17676376018893541,-0.4720954269762211,-0.07355233935978281,0.2972332015810277,1.0,1.0,1.0,2.0,0.0,0.0
-0.27627741120677357,0.26153527760045653,0.11037487696400691,0.22175389017344088,0.5318577075098815,1.0,2.0,2.0,2.0,0.0,0.0
7.513686264102367,-0.5369513935213798,-0.7642411809684398,0.9738699747245988,2.0784189723320154,1.0,0.0,0.0,3.0,0.0,0.0
0.4239615244204481,0.805480184233746,0.30011958813696044,-0.13032580721991385,-0.07288537549407113,1.0,3.0,2.0,1.0,0.0,0.0
