Acres,Urban or Rural,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
0.0002548856321746146,0,0.07882166817006911,0.04298394685831248,0.06537198419089552,0.0427305645790399,2.0,1.0,1.0,0,1
0.0007143847647935566,0,0.04726458503132874,0.0967177582336401,0.04386021624667979,0.005804137995272859,1.0,2.0,0.0,0,0
0.000204395311502347,0,0.04244311645599915,0.02314557284311071,0.04103889804410699,0.0427305645790399,1.0,0.0,0.0,1,0
0.0007757193848365577,0,0.012945760746979403,0.007059732493709063,0.09199936942498277,0.14075471258746958,0.0,0.0,2.0,0,1
4.139788760310662e-05,0,0.01275110216085981,0.029334660578972917,0.0821475234950439,0.028572426560480632,0.0,0.0,1.0,1,0
0.00021235886071088362,0,0.051859224451376675,0.06042764304843074,0.10866214747592316,0.007591370056003818,2.0,2.0,2.0,1,0
0.0006630107450978703,0,0.033273013038578,0.17820476175051345,0.30171125514748676,0.01758124046712541,1.0,3.0,3.0,0,1
0.0002449459676247147,0,0.009987247324184611,0.0054463616187025755,0.050991308390900256,0.0427305645790399,0.0,0.0,1.0,0,1
0.0008467892681662285,1,0.020606311608759753,0.01123727299485268,0.01902537118765959,0.0427305645790399,0.0,0.0,0.0,1,0
3.0094873373699723e-05,0,0.010297906012965059,0.005615773620245095,0.10451221625333475,0.14075471258746958,0.0,0.0,2.0,1,0
0.0004992663435901005,0,0.0208327377167874,0.011360750307890452,0.019234425618825803,0.08519333542911034,0.0,0.0,0.0,0,1
0.00018054581944620355,0,0.055908730076247075,0.03699970386885951,0.06602662349836269,0.006066110121438635,2.0,1.0,1.0,1,0
0.00016156559072449595,1,0.08763975863608746,0.08655052201679396,0.14653517882937184,0.01758124046712541,2.0,2.0,3.0,0,0
0.3654966153536015,1,0.12201932983226667,0.06654099705020813,0.10174861296205558,0.0023286411214735636,3.0,2.0,2.0,0,0
0.00027306511987449137,0,0.053541454650796814,0.0633644111370255,0.0668964266850315,0.14075471258746958,2.0,2.0,1.0,0,1
2.4427417344264662e-05,1,0.11785809011234695,0.06427174151250753,0.10881587905828002,0.005908926845739169,3.0,2.0,2.0,0,0
0.010905521466259158,1,0.055679646694695085,0.03036387113059357,0.05140783882516837,0.005908926845739169,2.0,0.0,1.0,0,0
0.0005095624576747759,1,0.039634320464364305,0.12666371332611848,0.03659352886251769,0.005908926845739169,1.0,3.0,0.0,0,0
5.634861373682772e-05,0,0.010844160173645156,0.13838927385341693,0.23430126727880993,0.007719445317684865,0.0,3.0,3.0,0,0
0.0002895641318518605,0,0.019494054034542074,0.05035430349586516,0.10952297085286972,0.029177873252063755,0.0,1.0,2.0,0,1
0.00285932808865688,1,0.3687208490991197,0.20107513265301297,0.11646123741100779,0.004651460640143445,3.0,3.0,2.0,0,0
0.00011077110601859526,0,0.14218010918843452,0.07753530722641361,0.037780366977170604,0.2215643811054059,3.0,2.0,0.0,1,0
0.0005404998260485096,0,0.1636218995440591,0.19416502356612553,0.11598560501600957,0.008988554728887956,3.0,3.0,2.0,0,0
0.00021570417618277865,0,0.03216493517948829,0.01754055574506598,0.029697203586722166,0.005908926845739169,1.0,0.0,0.0,1,0
0.0010901592072444534,0,0.005230725695943908,0.04049358450483971,0.12412482142163726,0.029177873252063755,0.0,1.0,2.0,0,0
0.0003416739248037396,1,0.09323308269112958,0.15672952997662315,0.19161489643599278,0.007591370056003818,2.0,3.0,3.0,0,0
0.0001545890325329976,0,0.5878112602654719,0.3205520583433064,0.0822085011799773,0.025900310873589714,3.0,3.0,1.0,0,1
0.0020845128811993133,1,0.16746339023917264,0.09132307947634662,0.1544960490637634,0.005908926845739169,3.0,2.0,3.0,0,0
0.0005024522627081917,1,0.07406431461794279,0.04038961160738141,0.15008446357936125,0.0023286411214735636,2.0,1.0,3.0,0,0
0.000506610976914245,0,0.03216606114267478,0.017541169768378304,0.02969824316469096,0.0427305645790399,1.0,0.0,0.0,0,1
0.001022830249411341,0,0.052606500958632604,0.02868798763214054,0.05946774060629592,0.00400526272893453,2.0,0.0,1.0,0,0
0.00013943849719273585,0,0.024014748332420444,0.013096001265911848,0.16286570732569586,0.14075471258746958,0.0,0.0,3.0,0,1
4.665111303924317e-05,0,0.010926506449624472,0.02020066491139725,0.07052894712256852,0.11886548604561806,0.0,0.0,1.0,1,0
0.00012047383432381188,0,0.02981819532213956,0.06800395875865052,0.05306152500699141,0.008988554728887956,1.0,2.0,1.0,1,0
