Acres,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,Urban or Rural,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
-0.11290724207196598,0.183598089434308,-0.2881147776843298,-0.22065049887966884,0.9163636363636363,0.0,2.0,1.0,1.0,0.0,1.0
0.4410083226501054,-0.1415160008363089,0.2670691643261825,-0.42368871847287004,-0.08648221343873516,0.0,1.0,2.0,0.0,0.0,0.0
-0.17377215454476194,-0.19118875933382373,-0.49308714809570525,-0.4503176513547116,0.9163636363636363,0.0,1.0,0.0,0.0,1.0,0.0
0.5149457869158043,-0.4950826878241214,-0.6592879074900618,0.030671331309796778,3.578498023715415,0.0,0.0,0.0,2.0,0.0,1.0
-0.3702617748685168,-0.49708814089028086,-0.42914077915783,-0.06231504073124105,0.5318577075098815,0.0,0.0,0.0,1.0,1.0,0.0
-0.16417228036894568,-0.0941801298813476,-0.10788449499661554,0.187942495526186,-0.037944664031620556,0.0,2.0,2.0,2.0,1.0,0.0
0.3790781314665286,-0.2856629481279835,1.1090022912938842,2.0100310945355453,0.23335968379446645,0.0,1.0,3.0,3.0,0.0,1.0
-0.12488927753507004,-0.5255625137249044,-0.6759574416136421,-0.35638210488015004,0.9163636363636363,0.0,0.0,0.0,1.0,0.0,1.0
0.6006188856546713,-0.4161605322671639,-0.6161250767886757,-0.658091708395989,0.9163636363636363,1.0,0.0,0.0,0.0,1.0,0.0
-0.38388729680206013,-0.5223619797419796,-0.674207057257258,0.14877348584489877,3.578498023715415,0.0,0.0,0.0,2.0,1.0,0.0
0.18168804693187282,-0.4138277970837098,-0.6148492949364944,-0.6561185539991896,2.0695652173913044,0.0,0.0,0.0,0.0,0.0,1.0
-0.2025221649861716,-0.05246045219481104,-0.34994466705560123,-0.21447170410052546,-0.07936758893280631,0.0,2.0,1.0,1.0,1.0,0.0
-0.22540239122515654,0.2744456955701263,0.16202010605646716,0.5454060418298906,0.23335968379446645,1.0,2.0,2.0,3.0,0.0,0.0
440.17754080646995,0.6286382223064824,-0.0447206157417946,0.12268929353777085,-0.18086956521739128,1.0,3.0,2.0,2.0,0.0,0.0
-0.09099229059373089,-0.07684910031484031,-0.0775414680929749,-0.20626209107031362,3.578498023715415,0.0,2.0,2.0,1.0,0.0,1.0
-0.39071928381624543,0.5857674138736577,-0.06816682591381823,0.18939348676307197,-0.08363636363636362,1.0,3.0,2.0,2.0,0.0,0.0
12.726187641657685,-0.0548205637064469,-0.4185068569293031,-0.35245069403565366,-0.08363636363636362,1.0,2.0,0.0,1.0,0.0,0.0
0.1940997740556004,-0.22012613448859758,0.5764742292188191,-0.49227514394225463,-0.08363636363636362,1.0,1.0,3.0,0.0,0.0,0.0
-0.3522390206966763,-0.5167342440059087,0.6976240741527199,1.3737838109488112,-0.034466403162055306,0.0,0.0,3.0,3.0,0.0,0.0
-0.07110311368775496,-0.4276194686903614,-0.21196340209181644,0.19606735287369334,0.548300395256917,0.0,0.0,1.0,2.0,0.0,1.0
